iter	Logloss
0	0.6546868711
1	0.622182335
2	0.5903891998
3	0.5625625419
4	0.5373298756
5	0.5157417364
6	0.4976091158
7	0.4796748118
8	0.4656217643
9	0.453249271
10	0.4413968743
11	0.4308727806
12	0.4210773492
13	0.4126360222
14	0.4060975064
15	0.3988095741
16	0.3922284716
17	0.3865721411
18	0.3815391954
19	0.3784484745
20	0.3741484426
21	0.3699564779
22	0.3662264497
23	0.3627390594
24	0.3595097355
25	0.3568662166
26	0.3543285837
27	0.3520694171
28	0.3503547615
29	0.3483413172
30	0.3466447355
31	0.3455561927
32	0.3439951513
33	0.3418289042
34	0.3406013767
35	0.3391059169
36	0.3377668436
37	0.336467242
38	0.3349390995
39	0.3337308635
40	0.3327751823
41	0.3321666291
42	0.3306723657
43	0.3299935234
44	0.3292099076
45	0.3282279752
46	0.3274065555
47	0.326507467
48	0.3256574759
49	0.3252448214
50	0.3246895663
51	0.3237423947
52	0.3230233819
53	0.3224349675
54	0.3217911866
55	0.3212307366
56	0.3205959693
57	0.3200450819
58	0.3193695275
59	0.3187253162
60	0.3183250539
61	0.3177874263
62	0.3173717965
63	0.3170624651
64	0.3166967535
65	0.3161955648
66	0.3158952834
67	0.3154211246
68	0.3150047705
69	0.314422273
70	0.3135787204
71	0.3133113327
72	0.3128731362
73	0.3125232174
74	0.3121965942
75	0.3119658665
76	0.3117062504
77	0.3113877976
78	0.3108233414
79	0.3103445146
80	0.3099799907
81	0.3097465764
82	0.3095835739
83	0.3090198943
84	0.3086110266
85	0.3083465316
86	0.3080368341
87	0.3072651454
88	0.3069645614
89	0.3067079867
90	0.3063729667
91	0.3060684197
92	0.3057014244
93	0.3054214968
94	0.3051726299
95	0.3049447216
96	0.3047094128
97	0.3045251358
98	0.3044762941
99	0.3042879213
100	0.3036718424
101	0.3030955923
102	0.3030142895
103	0.3027958538
104	0.3026395229
105	0.3024786274
106	0.3022859287
107	0.3021195653
108	0.3019796493
109	0.3018773352
110	0.3017049459
111	0.3015102418
112	0.301359178
113	0.3011760637
114	0.3010680848
115	0.300939187
116	0.3008261137
117	0.300592286
118	0.3004598972
119	0.3003219791
120	0.3002449109
121	0.3000244486
122	0.2998920423
123	0.299793755
124	0.2996039637
125	0.2993763483
126	0.2992517305
127	0.2991111819
128	0.2989916895
129	0.2988043757
130	0.2987287592
131	0.2986193198
132	0.2984393613
133	0.2983625626
134	0.2982419842
135	0.298042448
136	0.2977136939
137	0.2976012797
138	0.2974556896
139	0.2973768005
140	0.2972859117
141	0.2972031532
142	0.2970837488
143	0.2969531871
144	0.2968708119
145	0.2964053445
146	0.2962651655
147	0.2961656862
148	0.2960584485
149	0.2959675042
150	0.2958920101
151	0.2957759185
152	0.2957695789
153	0.2957116787
154	0.2955825731
155	0.2955177137
156	0.2954322044
157	0.2953896856
158	0.295192073
159	0.2949661728
160	0.2948477318
161	0.2947596989
162	0.2947112073
163	0.2942754186
164	0.2941892802
165	0.2941069288
166	0.294059794
167	0.2934767595
168	0.2933716561
169	0.2932870937
