iter	Passed	Remaining
423	1810	2459
424	1813	2453
425	1816	2447
426	1819	2441
427	1821	2434
428	1825	2429
429	1828	2423
430	1833	2420
431	1835	2413
432	1838	2407
433	1842	2402
434	1844	2396
435	1849	2392
436	1852	2386
437	1855	2381
438	1859	2375
439	1861	2369
440	1866	2365
441	1868	2359
442	1871	2353
443	1874	2347
444	1877	2341
445	1881	2336
446	1883	2330
447	1886	2324
448	1889	2318
449	1892	2312
450	1895	2307
451	1900	2304
452	1905	2300
453	1907	2294
454	1910	2288
455	1914	2284
456	1917	2277
457	1920	2272
458	1923	2267
459	1926	2261
460	1930	2256
461	1933	2251
462	1936	2246
463	1939	2240
464	1944	2237
465	1947	2231
466	1950	2226
467	1954	2221
468	1957	2216
469	1962	2213
470	1968	2210
471	1971	2205
472	1976	2202
473	1979	2197
474	1985	2195
475	1989	2189
476	1995	2188
477	1998	2182
478	2002	2177
479	2004	2171
480	2009	2167
481	2012	2163
482	2016	2158
483	2018	2152
484	2021	2146
485	2025	2141
486	2027	2136
487	2031	2131
488	2035	2126
489	2040	2123
490	2043	2118
491	2048	2114
492	2051	2109
493	2056	2106
494	2059	2101
495	2063	2096
496	2067	2092
497	2070	2087
498	2074	2082
499	2078	2078
500	2082	2074
501	2088	2071
502	2092	2067
503	2097	2064
504	2100	2059
505	2104	2054
506	2107	2049
507	2111	2045
508	2115	2040
509	2119	2036
510	2122	2030
511	2125	2025
512	2128	2020
513	2130	2014
514	2134	2010
515	2138	2005
516	2142	2001
517	2145	1996
518	2148	1990
519	2153	1987
520	2158	1984
521	2161	1979
522	2164	1974
523	2168	1969
524	2171	1965
525	2175	1960
526	2179	1956
527	2183	1951
528	2186	1946
529	2188	1941
530	2192	1936
531	2195	1931
532	2198	1926
533	2201	1921
534	2204	1915
535	2207	1910
536	2210	1906
537	2214	1901
538	2216	1896
539	2219	1890
540	2223	1886
541	2225	1880
542	2228	1875
543	2232	1871
544	2234	1865
545	2237	1860
546	2242	1856
547	2244	1851
548	2248	1847
549	2251	1842
550	2254	1837
551	2257	1832
552	2259	1826
553	2262	1821
554	2265	1816
555	2268	1811
556	2270	1806
557	2273	1800
558	2275	1795
559	2278	1790
560	2281	1785
561	2284	1780
562	2287	1775
563	2289	1769
564	2294	1766
565	2297	1761
566	2300	1756
567	2303	1751
568	2306	1746
569	2309	1741
570	2311	1736
571	2313	1731
572	2317	1726
573	2319	1721
574	2321	1716
575	2325	1711
576	2328	1707
577	2332	1702
578	2336	1698
579	2339	1693
580	2343	1690
581	2347	1685
582	2351	1681
583	2354	1677
584	2357	1672
585	2359	1667
586	2362	1662
587	2365	1657
588	2368	1652
589	2371	1647
590	2373	1642
591	2376	1637
592	2379	1633
593	2383	1628
594	2385	1623
595	2389	1619
596	2391	1614
597	2394	1609
598	2397	1605
599	2400	1600
600	2404	1596
601	2406	1591
602	2409	1586
603	2412	1581
604	2415	1576
605	2417	1571
606	2421	1568
607	2424	1563
608	2428	1559
609	2431	1554
610	2433	1549
611	2438	1546
612	2441	1541
613	2445	1537
614	2448	1532
615	2453	1529
616	2457	1525
617	2460	1521
618	2463	1516
619	2468	1512
620	2471	1508
621	2475	1504
622	2477	1499
623	2480	1494
624	2484	1490
625	2491	1488
626	2494	1484
627	2497	1479
628	2501	1475
629	2504	1470
630	2510	1468
631	2513	1463
632	2519	1460
633	2523	1456
634	2527	1452
635	2531	1448
636	2535	1444
637	2539	1440
638	2543	1437
639	2549	1434
640	2552	1429
641	2556	1425
642	2559	1421
643	2563	1416
644	2566	1412
645	2568	1407
646	2572	1403
647	2574	1398
648	2578	1394
649	2581	1389
650	2583	1385
651	2586	1380
